key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
AU_TAS,2020-05-30,0,0,0,1854,228,13,203,27498
AU_VIC,2020-05-30,11,0,10,22253,1645,19,1549,493085
AU_WA,2020-05-30,1,0,2,5572,586,9,551,85738
AW,2020-05-29,0,0,,,101,3,,
AZ,2020-05-29,230,2,,,4989,58,,
BA,2020-05-29,23,0,,,2485,153,,
BB,2020-05-29,0,0,,,92,7,,
BD,2020-05-29,2523,23,,9320,42844,582,,275776
BE,2020-05-29,212,55,,10174,58061,9443,,658513
BF,2020-05-29,0,0,,,847,53,,
BG,2020-05-29,14,3,,1273,2499,139,,77664
BH,2020-05-29,397,0,,6746,10449,15,,297873
BI,2020-05-29,0,0,,,42,1,,
BJ,2020-05-29,14,0,,,224,3,,
BM,2020-05-29,0,0,,,140,9,,
BN,2020-05-29,0,0,,,141,2,,
BO,2020-05-29,344,7,,1426,8731,300,,25065
BO_B,2020-05-26,100,5,,,1242,77,,
BO_C,2020-05-26,6,0,,,345,18,,
BO_H,2020-05-25,1,0,,,22,2,,
BO_L,2020-05-26,7,0,,,410,24,,
BO_N,2020-05-24,1,0,,,13,1,,
BO_O,2020-05-26,2,0,,,154,13,,
BO_P,2020-05-25,2,0,,,44,1,,
BO_S,2020-05-26,361,7,,,4888,135,,
BO_T,2020-05-26,0,1,,,19,3,,
BQ,2020-05-29,0,0,,,7,0,,
BR,2020-05-29,26928,1124,,,465166,27878,,132467
BR_AC,2020-05-29,241,13,,,5841,135,,
BR_AL,2020-05-29,563,21,,,8618,406,,
BR_AM,2020-05-29,2763,47,,,38909,2011,,
BR_AP,2020-05-29,317,9,,,8469,207,,
BR_BA,2020-05-29,954,39,,,16917,609,,
BR_CE,2020-05-29,574,126,,,38395,2859,,
BR_DF,2020-05-29,422,12,,,8722,154,,
BR_ES,2020-05-29,700,22,,,12903,560,,
BR_GO,2020-05-29,229,4,,,3319,119,,
BR_MA,2020-05-29,2503,24,,,30482,911,,
BR_MG,2020-05-29,546,2,,,9232,257,,
BR_MS,2020-05-29,94,0,,,1356,18,,
BR_MT,2020-05-29,152,5,,,2103,56,,
BR_PA,2020-05-29,2787,123,,,36486,2827,,
BR_PB,2020-05-29,879,9,,,12011,327,,
BR_PE,2020-05-29,1542,103,,,32255,2669,,
BR_PI,2020-05-29,260,8,,,4503,146,,
BR_PR,2020-05-29,252,4,,,4236,173,,
BR_RJ,2020-05-29,3067,223,,,47953,5079,,
BR_RN,2020-05-29,833,14,,,6463,268,,
BR_RO,2020-05-29,250,3,,,4502,145,,
BR_RR,2020-05-29,139,6,,,3098,108,,
BR_RS,2020-05-29,0,0,,,8234,213,,
BR_SC,2020-05-29,530,3,,,8530,134,,
BR_SE,2020-05-29,306,7,,,6462,142,,
BR_SP,2020-05-29,5691,295,,,101556,7275,,
BR_TO,2020-05-29,334,2,,,3611,70,,
BS,2020-05-29,1,0,,,102,11,,
BT,2020-05-29,2,0,,,33,0,,
BW,2020-05-29,0,0,,,35,1,,
BY,2020-05-29,906,5,,9902,40764,224,,472906
BZ,2020-05-29,0,0,,,18,2,,
CA,2020-05-29,906,102,680,11214,89407,6979,47533,1596449
CA_AB,2020-05-29,24,0,60,-20030,6979,143,6220,229675
CA_BC,2020-05-29,4,0,17,1822,2562,164,2170,119999
CA_MB,2020-05-29,0,0,0,869,283,7,273,41578
CA_NB,2020-05-29,2,0,0,528,128,0,120,22508
CA_NL,2020-05-29,0,0,0,102,261,3,255,11871
CA_NS,2020-05-29,0,0,1,526,1055,59,978,42309
CA_NT,2020-05-29,0,0,0,7,5,0,5,2001
CA_NU,2020-05-29,0,0,0,8,0,0,0,749
CA_ON,2020-05-29,344,41,310,17920,27210,2230,20983,658429
CA_PE,2020-05-29,0,0,0,279,27,0,27,6168
CA_QC,2020-05-29,530,61,290,8661,50232,4363,15908,417796
CA_SK,2020-05-29,2,0,2,509,641,10,570,42114
CA_YT,2020-05-29,0,0,0,13,11,0,11,1176
CD,2020-05-29,1,0,,,2833,69,,
CF,2020-05-29,119,0,,,874,1,,
CG,2020-05-29,16,0,,,587,19,,
CH,2020-05-29,7,0,,3673,3614,130,,385815
CH_AG,2020-05-28,0,1,10,,1201,46,1120,
CH_AI,2020-05-29,0,0,,,25,0,,
CH_AR,2020-05-29,1,0,,,100,3,,
CH_BE,2020-05-29,1,0,,,1884,96,,
CH_BL,2020-05-29,0,0,0,,840,35,802,
CH_BS,2020-05-29,2,0,0,0,978,50,923,235
CH_FR,2020-05-27,1,0,0,0,1157,84,148,30
CH_GE,2020-05-28,0,0,4,0,5142,280,792,35693
CH_GL,2020-05-29,0,0,,,128,12,,
CH_GR,2020-05-28,0,0,,,827,48,,
CH_JU,2020-05-29,0,0,,,205,7,,
CH_LU,2020-05-30,0,0,,,735,20,,
CH_NE,2020-05-29,0,0,,,725,83,,
CH_NW,2020-05-29,0,0,,,123,3,,
CH_OW,2020-05-29,0,0,0,0,82,0,1,6
CH_SG,2020-05-29,0,0,0,,808,37,217,
CH_SH,2020-05-29,0,0,,,78,6,,
CH_SO,2020-05-29,0,0,,,440,17,,
CH_SZ,2020-05-29,0,0,0,0,307,23,284,10
CH_TG,2020-05-29,1,0,,0,381,18,,276
CH_TI,2020-05-30,0,0,2,,3313,348,894,
CH_UR,2020-05-29,0,0,0,0,93,7,86,85
CH_VD,2020-05-28,1,0,,,5442,406,,
CH_VS,2020-05-29,0,0,,,1943,151,,
CH_ZG,2020-05-28,0,0,1,,202,9,180,
CI,2020-05-29,109,0,,,2750,32,,
CL,2020-05-29,3695,54,,15650,90638,944,,530173
CL_AI,2020-05-29,2,,,,16,,,
CL_AN,2020-05-29,70,,,,2270,,,
CL_AP,2020-05-29,20,,,,570,,,
CL_AR,2020-05-29,37,,,,2003,,,
CL_AT,2020-05-29,5,,,,198,,,
CL_BI,2020-05-29,102,,,,1726,,,
CL_CO,2020-05-29,55,,,,468,,,
CL_LI,2020-05-29,40,,,,721,,,
CL_LL,2020-05-29,8,,,,825,,,
CL_LR,2020-05-29,12,,,,331,,,
CL_MA,2020-05-29,8,,,,1060,,,
CL_ML,2020-05-29,60,,,,1142,,,
CL_NB,2020-05-29,37,,,,1237,,,
CL_RM,2020-05-29,3042,,,,69841,,,
CL_TA,2020-05-29,138,,,,2030,,,
CL_VS,2020-05-29,113,,,,2781,,,
CM,2020-05-29,80,0,,,5436,177,,
CN,2020-05-31,3,0,2,,84568,4645,79805,
CN_AH,2020-04-25,0,0,1,,991,6,985,
CN_BJ,2020-05-24,0,0,2,,593,9,581,
CN_CQ,2020-04-24,0,0,3,,579,6,573,
CN_FJ,2020-05-28,1,0,0,,358,1,355,
CN_GD,2020-05-30,1,0,1,,1593,8,1583,
CN_GS,2020-04-17,0,0,1,,139,2,137,
CN_GX,2020-04-02,0,0,2,,254,2,252,
CN_GZ,2020-04-19,1,0,1,,147,2,145,
CN_HA,2020-04-14,0,0,1,,1276,22,1254,
CN_HB,2020-05-30,0,0,1,,68135,4512,63619,
CN_HE,2020-05-18,0,0,1,,328,6,322,
CN_HI,2020-05-30,0,0,1,,169,6,163,
CN_HK,2020-05-31,3,0,1,,1082,4,1036,
CN_HL,2020-05-17,0,0,1,,945,13,932,
CN_HN,2020-04-18,0,0,1,,1019,4,1015,
CN_JL,2020-05-29,0,0,6,,155,2,142,
CN_JS,2020-05-11,0,0,1,,653,0,653,
CN_JX,2020-04-10,0,0,1,,937,1,936,
CN_LN,2020-05-26,0,0,2,,149,2,147,
CN_MO,2020-05-20,0,0,1,,45,0,45,
CN_NM,2020-05-30,0,0,1,,232,1,206,
CN_NX,2020-03-16,0,0,2,,75,0,75,
CN_QH,2020-02-24,0,0,0,,18,0,18,
CN_SC,2020-05-25,1,0,0,,564,3,558,
CN_SD,2020-05-30,2,0,0,,790,7,780,
CN_SH,2020-05-30,1,0,0,,672,7,657,
CN_SN,2020-05-24,0,0,1,,308,3,305,
CN_SX,2020-05-13,0,0,1,,198,0,198,
CN_TJ,2020-05-25,0,0,1,,192,3,188,
CN_TW,2020-05-31,0,0,1,,442,7,421,
CN_XJ,2020-03-08,0,0,1,,76,3,73,
CN_XZ,2020-02-24,0,0,0,,1,0,1,
CN_YN,2020-05-10,0,0,1,,185,2,183,
CN_ZJ,2020-05-05,0,0,2,,1268,1,1267,
CO,2020-05-29,1322,31,,12366,26688,853,,283484
CO_05_05001,2020-05-29,13,0,0,,516,3,293,
CO_05_05030,2020-04-18,1,0,0,,1,0,0,
CO_05_05034,2020-04-20,0,0,1,,1,0,1,
CO_05_05038,2020-05-09,0,0,1,,1,0,1,
CO_05_05045,2020-05-27,1,0,0,,22,0,4,
CO_05_05079,2020-04-23,1,0,0,,1,0,0,
CO_05_05088,2020-05-29,4,0,0,,68,1,43,
CO_05_05129,2020-05-29,1,0,0,,4,0,3,
CO_05_05147,2020-05-28,2,0,0,,52,0,0,
CO_05_05148,2020-05-19,0,0,1,,1,0,1,
CO_05_05154,2020-05-16,1,0,0,,1,0,0,
CO_05_05190,2020-05-21,0,0,1,,1,0,1,
CO_05_05197,2020-05-07,0,0,1,,1,0,1,
CO_05_05212,2020-05-29,2,0,0,,15,0,9,
CO_05_05237,2020-04-08,0,0,1,,1,0,1,
CO_05_05250,2020-05-25,0,0,1,,1,0,1,
CO_05_05266,2020-05-26,1,0,0,,29,0,25,
CO_05_05284,2020-05-27,1,0,0,,2,0,1,
CO_05_05306,2020-05-29,1,0,0,,1,0,0,
CO_05_05313,2020-05-02,0,1,0,,1,1,0,
CO_05_05318,2020-04-28,0,0,1,,3,0,3,
CO_05_05321,2020-05-16,0,0,1,,2,0,2,
CO_05_05360,2020-05-26,1,0,0,,19,0,14,
CO_05_05361,2020-05-28,11,0,0,,197,0,3,
CO_05_05368,2020-05-27,1,0,0,,1,0,0,
CO_05_05376,2020-05-27,1,0,0,,3,0,2,
CO_05_05380,2020-05-22,1,0,0,,11,0,8,
CO_05_05440,2020-05-28,1,0,0,,4,0,0,
CO_05_05467,2020-05-15,0,0,1,,3,0,3,
CO_05_05607,2020-04-07,0,0,1,,1,0,1,
CO_05_05615,2020-05-21,0,0,1,,13,0,12,
CO_05_05631,2020-05-28,2,0,0,,17,0,9,
CO_05_05652,2020-04-24,0,1,0,,1,1,0,
CO_05_05665,2020-04-22,0,0,1,,1,0,1,
CO_05_05686,2020-04-13,0,0,1,,2,0,2,
CO_05_05697,2020-04-25,0,0,1,,1,0,1,
CO_05_05756,2020-04-25,0,0,1,,2,0,2,
CO_05_05837,2020-05-28,2,0,0,,21,0,1,
CO_05_05890,2020-05-28,2,0,0,,2,0,0,
CO_08_08001,2020-05-29,89,0,0,,1793,52,253,
CO_08_08078,2020-05-28,2,0,0,,28,0,9,
CO_08_08137,2020-05-26,1,0,0,,2,0,0,
CO_08_08141,2020-05-18,0,0,1,,1,0,1,
CO_08_08296,2020-05-29,9,0,0,,71,2,3,
CO_08_08372,2020-05-17,1,0,0,,1,0,0,
CO_08_08421,2020-05-19,1,0,0,,1,0,0,
CO_08_08433,2020-05-29,8,0,0,,258,9,18,
CO_08_08436,2020-05-19,1,0,0,,5,0,1,
CO_08_08520,2020-05-29,1,0,0,,41,0,19,
CO_08_08549,2020-05-29,2,0,0,,5,0,0,
CO_08_08558,2020-05-22,1,0,0,,12,0,6,
CO_08_08560,2020-05-26,2,0,0,,7,0,1,
CO_08_08573,2020-05-28,2,0,0,,30,1,6,
CO_08_08606,2020-05-13,1,0,0,,1,1,0,
CO_08_08634,2020-05-28,3,0,0,,89,1,16,
CO_08_08638,2020-05-26,1,0,0,,29,0,3,
CO_08_08675,2020-05-14,1,0,0,,2,1,0,
CO_08_08685,2020-05-28,4,0,0,,41,1,8,
CO_08_08758,2020-05-29,35,0,0,,1000,17,107,
CO_08_08832,2020-05-28,2,0,0,,3,0,0,
CO_08_08849,2020-05-21,1,0,0,,1,0,0,
CO_11_11001,2020-05-29,625,1,0,,9161,247,2918,
CO_13_13001,2020-05-29,175,1,0,,2649,127,388,
CO_13_13052,2020-05-28,4,0,0,,30,1,11,
CO_13_13074,2020-04-17,1,0,0,,1,1,0,
CO_13_13140,2020-04-23,0,1,0,,1,1,0,
CO_13_13222,2020-05-25,1,0,0,,2,0,0,
CO_13_13244,2020-05-28,1,0,0,,1,0,0,
CO_13_13430,2020-05-23,4,0,0,,6,2,2,
CO_13_13442,2020-05-15,0,0,1,,1,0,1,
CO_13_13468,2020-05-28,1,0,0,,1,0,0,
CO_13_13620,2020-04-29,0,0,1,,1,0,1,
CO_13_13657,2020-05-28,3,0,0,,3,0,0,
CO_13_13673,2020-05-18,4,0,1,,5,0,1,
CO_13_13683,2020-05-29,1,0,0,,36,2,7,
CO_13_13688,2020-05-26,1,0,0,,1,0,0,
CO_13_13836,2020-05-29,3,0,0,,72,2,21,
CO_13_13838,2020-05-28,1,1,0,,11,1,0,
CO_13_13873,2020-05-29,1,0,0,,23,1,0,
CO_15_15001,2020-05-28,1,0,0,,37,2,10,
CO_15_15047,2020-05-16,1,0,0,,2,0,0,
CO_15_15104,2020-05-27,1,0,0,,1,0,0,
CO_15_15109,2020-05-29,1,0,0,,1,0,0,
CO_15_15131,2020-05-06,0,0,1,,1,0,1,
CO_15_15176,2020-05-27,0,0,1,,14,0,8,
CO_15_15204,2020-05-24,1,0,0,,5,0,0,
CO_15_15212,2020-05-24,1,0,0,,1,0,0,
CO_15_15223,2020-05-21,1,0,0,,3,1,1,
CO_15_15224,2020-05-20,1,0,0,,2,1,0,
CO_15_15238,2020-05-27,1,0,0,,26,0,8,
CO_15_15299,2020-05-20,1,0,0,,4,1,2,
CO_15_15322,2020-05-28,3,0,0,,9,1,0,
CO_15_15407,2020-05-15,0,0,3,,5,0,4,
CO_15_15455,2020-05-21,0,0,1,,1,0,1,
CO_15_15469,2020-05-29,1,0,0,,4,0,0,
CO_15_15480,2020-05-19,0,0,1,,1,0,1,
CO_15_15494,2020-05-27,1,0,0,,1,0,0,
CO_15_15500,2020-04-11,0,0,1,,1,0,1,
CO_15_15516,2020-05-16,1,1,0,,6,1,3,
CO_15_15531,2020-05-26,1,0,0,,1,0,0,
CO_15_15533,2020-05-19,2,0,0,,2,0,0,
CO_15_15646,2020-05-27,0,0,1,,2,1,1,
CO_15_15676,2020-05-21,1,0,0,,1,0,0,
CO_15_15686,2020-05-16,0,0,1,,4,0,3,
CO_15_15693,2020-05-15,0,0,1,,1,0,1,
CO_15_15696,2020-05-24,0,0,1,,1,0,1,
CO_15_15757,2020-05-26,0,0,1,,3,0,3,
CO_15_15759,2020-05-26,1,0,0,,9,1,4,
CO_15_15776,2020-05-29,6,0,0,,14,0,0,
CO_15_15790,2020-05-27,1,0,0,,1,1,0,
CO_15_15798,2020-04-19,0,0,2,,2,0,2,
CO_15_15808,2020-05-12,1,0,0,,1,0,0,
CO_15_15810,2020-05-16,1,0,0,,1,0,0,
CO_15_15816,2020-05-24,0,0,1,,14,0,13,
CO_15_15835,2020-05-20,0,0,1,,3,0,2,
CO_15_15861,2020-05-25,1,0,0,,4,0,0,
CO_15_15879,2020-05-21,0,0,1,,1,0,1,
CO_17_17001,2020-05-28,1,0,0,,46,2,26,
CO_17_17013,2020-05-12,1,0,0,,1,0,0,
CO_17_17042,2020-04-10,0,0,1,,1,0,1,
CO_17_17174,2020-05-16,2,0,0,,6,0,4,
CO_17_17380,2020-05-25,0,0,1,,56,2,41,
CO_17_17433,2020-05-24,0,1,0,,2,1,0,
CO_17_17442,2020-05-08,0,0,1,,1,0,1,
CO_17_17444,2020-05-22,0,0,1,,5,0,5,
CO_17_17495,2020-05-08,0,1,0,,1,1,0,
CO_17_17614,2020-05-27,1,0,0,,2,0,0,
CO_17_17616,2020-05-15,0,0,1,,1,0,1,
CO_17_17662,2020-05-12,1,0,0,,2,0,1,
CO_17_17873,2020-05-27,1,0,0,,9,0,5,
CO_17_17877,2020-04-05,0,0,1,,2,0,2,
CO_18_18001,2020-05-26,2,0,0,,23,1,7,
CO_18_18753,2020-05-13,1,0,0,,1,0,0,
CO_19_19001,2020-05-28,2,0,0,,35,1,21,
CO_19_19110,2020-05-26,0,0,1,,1,0,1,
CO_19_19142,2020-05-20,1,0,0,,2,0,1,
CO_19_19256,2020-05-15,0,0,1,,4,0,2,
CO_19_19300,2020-04-30,0,0,1,,1,0,1,
CO_19_19455,2020-05-09,0,0,1,,6,1,5,
CO_19_19548,2020-05-26,0,0,2,,12,0,7,
CO_19_19573,2020-05-28,6,0,0,,18,0,4,
CO_19_19698,2020-05-29,1,0,0,,7,1,0,
CO_19_19807,2020-04-26,0,0,1,,2,0,1,
CO_19_19809,2020-05-22,1,0,0,,1,0,0,
CO_19_19824,2020-05-15,1,0,0,,1,0,0,
CO_19_19845,2020-04-25,1,0,0,,1,1,0,
CO_20_20001,2020-05-29,20,0,0,,112,6,46,
CO_20_20011,2020-05-29,1,0,0,,3,1,1,
CO_20_20013,2020-05-29,10,0,0,,21,0,4,
CO_20_20045,2020-05-29,1,0,0,,2,0,0,
CO_20_20060,2020-05-15,0,0,1,,2,0,2,
CO_20_20178,2020-05-27,1,0,0,,3,0,1,
CO_20_20238,2020-05-26,2,0,0,,5,0,0,
CO_20_20310,2020-05-26,1,0,0,,2,1,0,
CO_20_20400,2020-05-10,0,0,1,,1,0,1,
CO_20_20570,2020-05-29,1,0,0,,1,0,0,
CO_20_20614,2020-05-29,1,0,0,,4,2,0,
CO_20_20621,2020-05-26,1,0,0,,2,0,1,
CO_20_20750,2020-05-22,0,0,1,,3,0,3,
CO_20_20770,2020-05-03,0,1,0,,2,2,0,
CO_23_23001,2020-05-29,2,0,0,,53,2,16,
CO_23_23090,2020-05-27,1,0,0,,6,0,1,
CO_23_23162,2020-05-29,2,0,0,,6,0,2,
CO_23_23182,2020-05-27,1,0,0,,2,0,0,
CO_23_23189,2020-05-29,1,0,0,,3,1,0,
CO_23_23417,2020-05-26,1,0,0,,8,1,4,
CO_23_23466,2020-05-28,1,0,0,,2,0,1,
CO_23_23660,2020-05-29,4,0,0,,28,1,2,
CO_23_23807,2020-05-15,0,1,0,,2,1,1,
CO_25_25001,2020-05-29,1,0,0,,1,0,0,
CO_25_25035,2020-04-11,0,0,1,,2,0,2,
CO_25_25040,2020-05-27,1,0,0,,1,0,0,
CO_25_25126,2020-05-27,1,0,0,,24,0,17,
CO_25_25151,2020-05-28,1,0,0,,3,0,0,
CO_25_25175,2020-05-29,3,0,0,,46,0,22,
CO_25_25178,2020-05-28,2,0,0,,3,0,1,
CO_25_25181,2020-04-11,0,0,1,,1,0,1,
CO_25_25183,2020-05-24,1,0,0,,1,0,0,
CO_25_25200,2020-05-25,0,0,1,,2,0,2,
CO_25_25214,2020-05-28,1,0,0,,13,0,10,
CO_25_25245,2020-05-28,1,0,0,,12,1,1,
CO_25_25258,2020-05-28,1,0,0,,1,0,0,
CO_25_25260,2020-05-25,1,0,0,,1,0,0,
CO_25_25269,2020-05-29,1,0,0,,30,0,5,
CO_25_25279,2020-05-29,3,0,0,,11,0,1,
CO_25_25286,2020-05-29,1,0,0,,30,0,9,
CO_25_25290,2020-05-29,5,0,0,,32,1,5,
CO_25_25295,2020-05-28,2,0,0,,9,0,0,
CO_25_25307,2020-05-29,1,0,0,,25,1,0,
CO_25_25320,2020-04-23,1,0,0,,1,0,0,
CO_25_25372,2020-05-28,1,0,0,,2,0,0,
CO_25_25377,2020-05-28,5,0,0,,10,0,1,
CO_25_25386,2020-05-27,1,0,0,,3,0,0,
CO_25_25430,2020-05-29,1,0,0,,29,0,6,
CO_25_25436,2020-05-27,1,0,0,,1,0,0,
CO_25_25473,2020-05-29,2,0,0,,35,2,11,
CO_25_25488,2020-05-28,1,0,0,,3,0,0,
CO_25_25506,2020-05-29,1,0,0,,1,0,0,
CO_25_25513,2020-05-29,1,0,0,,12,0,11,
CO_25_25535,2020-05-29,1,0,0,,3,0,0,
CO_25_25572,2020-05-28,1,0,0,,1,0,0,
CO_25_25645,2020-05-25,1,0,0,,2,0,0,
CO_25_25658,2020-05-17,1,0,0,,1,0,0,
CO_25_25662,2020-05-09,0,0,1,,2,0,2,
CO_25_25736,2020-05-25,1,0,0,,1,0,0,
CO_25_25740,2020-05-28,2,0,0,,11,0,2,
CO_25_25743,2020-05-08,1,0,0,,1,0,0,
CO_25_25754,2020-05-29,29,0,0,,287,3,71,
CO_25_25758,2020-05-27,1,0,0,,8,0,6,
CO_25_25769,2020-05-28,5,0,0,,11,0,3,
CO_25_25772,2020-05-25,1,0,0,,5,1,3,
CO_25_25785,2020-05-28,1,0,0,,7,0,0,
CO_25_25797,2020-05-29,1,0,0,,1,0,0,
CO_25_25799,2020-05-28,1,0,0,,17,2,4,
CO_25_25817,2020-05-26,1,0,0,,9,1,6,
CO_25_25841,2020-05-28,1,0,0,,1,0,0,
CO_25_25843,2020-05-28,1,0,0,,5,0,2,
CO_25_25845,2020-05-28,1,0,0,,2,0,1,
CO_25_25873,2020-05-29,1,0,0,,11,2,4,
CO_25_25875,2020-05-28,1,0,0,,6,0,4,
CO_25_25898,2020-05-27,1,0,0,,2,0,0,
CO_25_25899,2020-05-28,1,0,0,,26,2,12,
CO_27_27001,2020-05-28,39,0,0,,157,2,17,
CO_27_27075,2020-05-19,1,0,0,,1,0,0,
CO_27_27099,2020-05-23,1,0,0,,1,0,0,
CO_27_27160,2020-05-28,1,0,0,,1,0,0,
CO_27_27205,2020-05-28,1,0,0,,1,0,0,
CO_27_27361,2020-05-27,14,0,0,,17,0,0,
CO_27_27430,2020-05-12,1,0,0,,1,0,0,
CO_27_27787,2020-05-27,3,0,0,,5,0,0,
CO_27_27810,2020-05-28,1,0,0,,12,3,1,
CO_41_41001,2020-05-27,3,0,1,,149,7,91,
CO_41_41006,2020-05-10,1,0,0,,2,0,1,
CO_41_41013,2020-04-18,0,0,1,,1,0,1,
CO_41_41016,2020-05-20,0,0,1,,4,0,4,
CO_41_41020,2020-05-28,2,0,0,,8,0,3,
CO_41_41132,2020-05-26,0,0,1,,1,0,1,
CO_41_41298,2020-05-28,1,0,0,,3,0,1,
CO_41_41306,2020-05-27,1,0,0,,22,0,18,
CO_41_41359,2020-05-20,1,0,0,,3,2,0,
CO_41_41396,2020-05-15,1,0,0,,5,0,1,
CO_41_41503,2020-05-19,0,0,11,,12,0,11,
CO_41_41518,2020-05-21,1,0,0,,3,1,2,
CO_41_41524,2020-05-08,0,0,1,,6,0,6,
CO_41_41551,2020-05-21,1,0,2,,18,2,12,
CO_41_41660,2020-05-15,1,0,0,,1,0,0,
CO_41_41668,2020-05-16,0,0,1,,3,0,3,
CO_41_41807,2020-05-19,0,0,1,,6,1,5,
CO_44_44001,2020-05-26,2,0,0,,15,1,8,
CO_44_44035,2020-05-17,1,0,0,,4,0,1,
CO_44_44090,2020-05-15,2,0,0,,2,0,0,
CO_44_44098,2020-05-13,1,0,0,,2,0,1,
CO_44_44279,2020-05-20,0,0,1,,2,0,1,
CO_44_44430,2020-05-28,2,0,0,,25,2,4,
CO_44_44650,2020-05-23,1,0,0,,7,1,3,
CO_47_47001,2020-05-29,3,0,0,,310,21,115,
CO_47_47053,2020-05-28,1,0,0,,2,0,0,
CO_47_47189,2020-05-29,4,1,0,,97,5,44,
CO_47_47245,2020-05-21,1,0,0,,7,1,0,
CO_47_47258,2020-05-25,1,0,0,,1,0,0,
CO_47_47268,2020-05-21,0,0,1,,2,0,1,
CO_47_47288,2020-05-16,1,0,0,,3,0,0,
CO_47_47551,2020-05-17,1,0,0,,1,0,0,
CO_47_47570,2020-05-29,6,0,0,,126,10,11,
CO_47_47745,2020-05-27,2,0,0,,7,0,0,
CO_47_47980,2020-05-28,1,0,0,,12,2,2,
CO_50_50001,2020-05-29,1,0,0,,937,8,85,
CO_50_50006,2020-05-22,0,0,1,,15,0,10,
CO_50_50124,2020-05-24,1,0,0,,1,0,0,
CO_50_50313,2020-05-24,1,0,0,,8,0,3,
CO_50_50568,2020-05-13,1,0,0,,1,0,0,
CO_50_50573,2020-05-26,1,0,0,,4,1,0,
CO_50_50606,2020-05-06,1,0,1,,4,0,2,
CO_50_50680,2020-05-16,1,0,0,,1,0,0,
CO_50_50683,2020-05-21,0,0,1,,3,0,1,
CO_52_52001,2020-05-28,3,0,0,,88,7,14,
CO_52_52022,2020-05-22,1,0,0,,1,0,0,
CO_52_52036,2020-05-01,1,0,0,,1,0,0,
CO_52_52079,2020-05-29,1,0,0,,1,0,0,
CO_52_52083,2020-04-28,1,0,0,,1,0,0,
CO_52_52210,2020-05-15,1,0,0,,4,0,1,
CO_52_52224,2020-05-11,0,0,3,,6,0,4,
CO_52_52227,2020-05-28,1,0,0,,6,0,3,
CO_52_52233,2020-04-17,0,0,1,,1,0,1,
CO_52_52317,2020-05-26,1,0,0,,4,0,0,
CO_52_52356,2020-05-29,1,0,0,,142,3,70,
CO_52_52378,2020-05-24,0,0,1,,1,0,1,
CO_52_52381,2020-05-09,0,0,1,,1,0,1,
CO_52_52390,2020-05-24,1,0,0,,3,0,0,
CO_52_52399,2020-04-16,0,0,1,,1,0,1,
CO_52_52411,2020-05-12,0,1,0,,1,1,0,
CO_52_52427,2020-05-25,1,0,0,,2,1,0,
CO_52_52435,2020-05-29,1,0,0,,3,0,0,
